Home Team;Away Team;Home Goals;Away Goals;Time of first goal;Team that scored first goal;1st Half Stoppage Time;Total Time;Scoreless Time;E;T
PAS LAMIA 1964;PANATHINAIKOS;1;1;20;PAS LAMIA 1964;;20;;1;1
ARIS THESSALONIKI;OFI CRETE;1;1;18;OFI CRETE;;18;;1;2
OLYMPIACOS;ASTERAS TRIPOLIS;1;0;6;OLYMPIACOS;;6;;1;2
ATROMITOS ATHENS;AE LARISA;1;1;18;ATROMITOS ATHENS;;18;;1;2
PANIONIOS;VOLOS NFC;1;2;38;VOLOS NFC;;38;;1;2
PAOK ;PANETOLIKOS;2;1;27;PAOK;;27;;1;3
AEK ATHENS;XANTHI;1;2;67;XANTHI;1;68;;1;3
PANETOLIKOS;XANTHI;1;2;71;PANETOLIKOS;1;72;;1;3
PANATHINAIKOS;OFI CRETE;1;3;33;OFI CRETE;;33;;1;3
VOLOS NFC;ARIS THESSALONIKI;1;0;55;VOLOS NFC;1;56;;1;3
PAOK ;PANIONIOS;2;1;14;PAOK;;14;;1;3
AE LARISA;OLYMPIACOS;0;1;7;OLYMPIACOS;;7;;1;3
PAS LAMIA 1964;ATROMITOS ATHENS;2;2;11;PAS LAMIA 1964;;11;;1;3
ASTERAS TRIPOLIS;AEK ATHENS;2;3;3;ASTERAS TRIPOLIS;;3;;1;3
ATROMITOS ATHENS;PAOK;2;3;17;PAOK;;17;;1;3
OFI CRETE;PANETOLIKOS;3;1;54;OFI CRETE;1;55;;1;3
OLYMPIACOS ;VOLOS NFC;5;0;12;OLYMPIACOS;;12;;1;3
XANTHI;ASTERAS TRIPOLIS;2;1;19;XANTHI;;19;;1;3
PANIONIOS;AE LARISA;1;0;56;PANIONIOS;0;56;;1;4
AEK ATHENS;PAS LAMIA 1964;2;0;37;AEK ATHENS;;37;;1;4
ARIS THESSALONIKI;PANATHINAIKOS;4;0;20;ARIS THESSALONIKI;;20;;1;4
VOLOS NFC;OFI CRETE;1;0;75;VOLOS NFC;2;77;;1;4
ASTERAS TRIPOLIS;ATROMITOS ATHENS;2;1;3;ASTERAS TRIPOLIS;;3;;1;4
PANETOLIKOS;AEK ATHENS;0;1;68;AEK ATHENS;1;69;;1;4
AE LARISA;XANTHI;3;0;35;AE LARISA;;35;;1;4
PAOK ;ARIS THESSALONIKI;2;2;4;ARIS THESSALONIKI;;4;;1;4
PAS LAMIA 1964;PANIONIOS;1;1;69;PAS LAMIA 1964;1;70;;1;4
PANATHINAIKOS;OLYMPIACOS;1;1;36;OLYMPIACOS;;36;;1;5
ARIS THESSALONIKI;AE LARISA;2;3;11;ARIS THESSALONIKI;;11;;1;5
ATROMITOS ATHENS;PANETOLIKOS;2;0;3;ATROMITOS ATHENS;;3;;1;5
OLYMPIACOS;PAS LAMIA 1964;2;0;62;OLYMPIACOS;1;63;;1;5
OFI CRETE;ASTERAS TRIPOLIS;3;1;51;ASTERAS TRIPOLIS;0;51;;1;5
XANTHI;VOLOS NFC;3;1;40;XANTHI;;40;;1;5
PANIONIOS;PANATHINAIKOS;0;1;20;PANATHINAIKOS;;20;;1;5
AEK ATHENS;PAOK;2;2;16;PAOK;;16;;1;5
PANATHINAIKOS;XANTHI;0;1;95;XANTHI;1;96;;1;5
AE LARISA;AEK ATHENS;0;0;-1;NG;;-1;94;1;5
VOLOS NFC;ATROMITOS ATHENS;2;3;7;VOLOS NFC;;7;;1;6
OFI CRETE;PANIONIOS;4;1;9;PANIONIOS;;9;;1;6
ASTERAS TRIPOLIS;PAOK;1;2;33;PAOK;;33;;1;6
ARIS THESSALONIKI;OLYMPIACOS;1;2;7;ARIS THESSALONIKI;;7;;1;6
PAS LAMIA 1964;PANETOLIKOS;0;0;-1;NG;;-1;93;1;6
OLYMPIACOS;OFI CRETE;2;1;11;OLYMPIACOS;;11;;1;6
PANETOLIKOS;AE LARISA;2;2;28;AE LARISA;;28;;1;6
PANIONIOS;ASTERAS TRIPOLIS;0;1;44;ASTERAS TRIPOLIS;;44;;1;6
XANTHI;ARIS THESSALONIKI;0;1;3;ARIS THESSALONIKI;;3;;1;6
PAOK ;PAS LAMIA 1964;3;0;2;PAOK;;2;;1;6
AEK ATHENS;VOLOS NFC;3;2;24;VOLOS NFC;;24;;1;7
ATROMITOS ATHENS;PANATHINAIKOS;0;1;43;PANATHINAIKOS;;43;;1;7
OFI CRETE;XANTHI;2;0;47;OFI CRETE;1;48;;1;7
VOLOS NFC;PAOK;0;2;30;PAOK;;30;;1;7
PANATHINAIKOS;AE LARISA;1;2;1;AE LARISA;;1;;1;7
ATROMITOS ATHENS;PANIONIOS;4;0;17;ATROMITOS ATHENS;;17;;1;7
